timestamp,hour,queue_size,recent_avg_wait_time,actual_wait
04-08-2026 11:25,11,0,6.77,6.77
04-08-2026 11:27,11,1,8.42,10.07
04-08-2026 11:28,11,1,8.76,9.43
04-08-2026 11:31,11,1,10.64,16.3
04-08-2026 11:35,11,1,11.67,15.8
04-08-2026 11:40,11,1,11.01,7.67
04-08-2026 11:46,11,2,11.03,11.2
04-08-2026 11:51,11,2,11.68,16.2
04-08-2026 12:01,12,0,11.28,8.1
04-08-2026 12:21,12,0,10.75,6
04-08-2026 12:23,12,0,10.3,5.8
04-08-2026 12:23,12,1,34.92,305.73
04-08-2026 12:24,12,1,32.63,5.07
04-08-2026 12:24,12,2,31.26,13.47
04-08-2026 12:29,12,1,29.69,7.8
04-08-2026 12:30,12,1,28.48,10.2
04-08-2026 12:32,12,1,28.26,24.8
04-08-2026 12:34,12,2,27.98,23.27
04-08-2026 12:35,12,2,27.32,15.47
04-08-2026 12:36,12,1,33.33,147.4
04-08-2026 12:37,12,1,34.81,36.37
04-08-2026 12:39,12,1,34.73,8.53
04-08-2026 12:40,12,1,34.73,9.5
04-08-2026 12:43,12,0,34.3,7.6
04-08-2026 12:45,12,0,35.12,32.17
04-08-2026 12:46,12,0,35.25,10.33
04-08-2026 12:47,12,0,35.79,22.03
04-08-2026 12:48,12,0,35.86,17.6
04-08-2026 12:54,12,1,41.95,129.77
04-08-2026 12:54,12,1,42.28,12.67
04-08-2026 12:57,12,1,44.67,53.7
04-08-2026 12:59,12,0,30.23,16.97
04-08-2026 13:00,13,1,30.41,8.6
04-08-2026 13:07,13,0,31.08,26.8
04-08-2026 13:10,13,1,31.37,13.63
04-08-2026 13:13,13,1,40.08,184.33
04-08-2026 13:14,13,1,39.64,16.13
04-08-2026 13:17,13,1,38.75,5.4
04-08-2026 13:23,13,0,44.92,138.97
04-08-2026 13:23,13,0,37.87,6.3
04-08-2026 13:24,13,1,36.66,12.23
04-08-2026 13:25,13,1,36.89,13
04-08-2026 13:27,13,1,38.71,46.03
04-08-2026 13:31,13,3,39.72,27.67
04-08-2026 13:32,13,2,38.8,13.8
04-08-2026 13:33,13,2,39.57,25.7
